repo	tot	rust	hs	elixir	go	kotlin	clojure	java	fsharp	csharp	js	cljs	ts	elm	py	ruby	php	css	html	sql	json	yaml	xml	md	bash	pshell	docker	maven
node-express-realworld-example-app	696	0	0	0	0	0	0	0	0	0	596	0	0	0	0	0	0	0	0	0	43	25	0	32	0	0	0	0
rails-realworld-example-app	777	0	0	0	0	0	0	0	0	0	0	0	0	0	0	440	0	0	182	0	0	111	0	32	0	0	0	0
flask-realworld-example-app	824	0	0	0	0	0	0	0	0	0	0	0	0	0	795	0	0	0	0	0	0	29	0	0	0	0	0	0
django-realworld-example-app	903	0	0	0	0	0	0	0	0	0	0	0	0	0	887	0	0	0	0	0	0	0	0	16	0	0	0	0
haskell-servant-realworld-example-app	1231	0	1143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	0	6	0	21	0	0	0	0
kotlin-spring-realworld-example-app	1322	0	0	0	0	1063	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	51	0	0	167
koa-knex-realworld-example	1424	0	0	0	0	0	0	0	0	0	1316	0	0	0	0	0	0	0	0	0	69	0	0	39	0	0	0	0
moleculer-node-realworld-example-app	1546	0	0	0	0	0	0	0	0	0	1287	0	0	0	0	0	0	0	1	0	85	102	0	64	0	0	7	0
elixir-phoenix-realworld-example-app	1788	0	0	1741	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	16	0	0	0	0
slim-php-realworld-example-app	2166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1631	0	0	0	53	28	36	418	0	0	0	0
aspnetcore-realworld-example-app	2356	0	0	0	0	0	0	0	0	2123	0	0	0	0	0	0	0	0	0	0	22	10	0	37	15	0	5	0
golang-gin-realworld-example-app	2458	0	0	0	1713	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	211	17	0	516	1	0	0	0
laravel-realworld-example-app	2591	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	2225	3	0	0	78	19	31	97	0	0	0	0
fsharp-realworld-example-app	2670	0	0	0	0	0	0	0	783	0	0	0	0	0	0	0	0	0	0	0	1873	0	0	14	0	0	0	0
gcp-datastore-cloud-functions-realworld-example-app	2856	0	0	0	0	0	0	0	0	0	1076	0	0	0	0	0	0	0	0	0	1615	41	0	116	8	0	0	0
rust-realworld-example-app	3052	2617	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	332	0	24	0	36	1	0	0	0
cakephp-realworld-example-app	3816	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2779	830	0	29	59	28	0	73	18	0	0	0
spring-boot-realworld-example-app	4099	0	0	0	0	0	0	3494	0	0	0	0	0	0	0	0	0	0	0	43	0	14	437	31	22	0	12	0
hapijs-realworld-example-app	4326	0	0	0	0	0	0	0	0	0	4099	0	0	0	0	0	0	0	0	0	100	56	0	63	0	0	8	0
QEWD-realworld-example-app	5657	0	0	0	0	0	0	0	0	0	5197	0	0	0	0	0	0	0	31	0	53	0	0	376	0	0	0	0
